ID,Prompt,cluster
131,How many ounces are in a US cup?,2
132,Write a regular expression to match a valid email address.,2
133,Name a fruit that is yellow.,2
134,What does the acronym 'URL' mean?,2
135,What is the main ingredient in guacamole?,2
136,What is the capital of Japan?,2
137,Explain what a 'U-statistic' is in a few words.,2
138,How many sides does a hexagon have?,2
139,Who discovered penicillin?,2
140,Write a CSS rule to make text bold.,2
141,What is the currency of the United Kingdom?,2
142,What is the speed of light in a vacuum?,2
143,Name a popular Python library for data manipulation.,2
144,What does 'CPU' stand for?,2
145,Provide a one-sentence summary of 'Local Differential Privacy'.,2
146,What is the largest ocean on Earth?,2
147,Convert 24 hours into minutes.,2
148,Who is the author of Harry Potter?,2
149,What is the atomic number of oxygen?,2
150,What is a 'Multi-Armed Bandit' problem in simple terms?,2
151,How many zeros are in one million?,2
152,Translate 'cat' to French.,2
153,What is the approximate distance from the Earth to the Sun?,2
154,Name the three branches of the US government.,2
155,What is the basic syntax for a for-loop in Python?,2
156,What is the capital of Australia?,2
157,How many bones are in the adult human body?,2
158,"What is the standard deviation of the numbers 1, 2, and 3?",2
159,Who invented the telephone?,2
160,Write the LaTeX code for a summation symbol.,2
161,What does 'PDF' stand for?,2
162,What is the hardest natural substance on Earth?,2
163,Name a common metric used in network A/B testing.,2
164,How many inches are in a foot?,2
165,What is the national flower of Japan?,2
166,Explain the basic idea behind Thompson Sampling.,2
167,Who played Neo in The Matrix?,2
168,What is the freezing point of water in Kelvin?,2
169,Name the four seasons.,2
170,Write a simple SQL query to select all columns from a table named 'users'.,2
171,What is the capital of Canada?,2
172,How many players are on a standard soccer team on the field?,2
173,What does 'MIP' stand for in optimization?,2
174,What is the rarest blood type?,2
175,Convert 50 degrees Celsius to Fahrenheit.,2
176,Who wrote 'To Kill a Mockingbird'?,2
177,What is the most spoken language in the world by total speakers?,2
178,What is the default port for HTTP?,2
179,What is the difference between a list and a tuple in Python?,2
180,Name a popular fast-food chain.,2
181,What is the capital of Brazil?,2
182,How many keys are on a standard piano?,2
183,What does 'RCT' mean in clinical trials?,2
184,What is the chemical formula for table salt?,2
185,Name the primary language spoken in Brazil.,2
186,What is the symbol for Iron on the periodic table?,2
187,Write an R command to install a package.,2
188,What is the capital of Italy?,2
189,How many planets are in our solar system?,2
190,What is the acronym for Mixed-Integer Quadratic Programming?,2
191,Who painted the Sistine Chapel ceiling?,2
192,What is the largest continent by land area?,2
193,Convert 10 miles to feet.,2
194,What is the derivative of x squared?,2
195,What is the output of 2 to the power of 8?,2
196,What is the capital of Germany?,2
197,Write a bash command to list all files in a directory.,2
198,Who was the second president of the United States?,2
199,What is the syntax to create a basic 2x2 matrix in LaTeX?,2
200,What is the square root of 256?,2
